"","x"
"1","FALSE"
"2","FALSE"
"3","FALSE"
"4","TRUE"
"5","FALSE"
"6","TRUE"
"7","FALSE"
"8","TRUE"
"9","FALSE"
"10","TRUE"
"11","FALSE"
"12","FALSE"
"13","TRUE"
"14","TRUE"
"15","FALSE"
"16","TRUE"
"17","FALSE"
"18","FALSE"
"19","FALSE"
"20","TRUE"
"21","TRUE"
"22","FALSE"
"23","FALSE"
"24","FALSE"
"25","FALSE"
"26","TRUE"
"27","FALSE"
"28","TRUE"
"29","FALSE"
"30","TRUE"
"31","TRUE"
"32","TRUE"
"33","FALSE"
"34","FALSE"
"35","FALSE"
"36","FALSE"
"37","TRUE"
"38","TRUE"
"39","TRUE"
"40","TRUE"
"41","FALSE"
"42","TRUE"
"43","TRUE"
"44","FALSE"
"45","FALSE"
"46","TRUE"
"47","FALSE"
"48","FALSE"
"49","TRUE"
"50","FALSE"
"51","TRUE"
"52","TRUE"
"53","FALSE"
"54","TRUE"
"55","TRUE"
"56","TRUE"
"57","FALSE"
"58","TRUE"
"59","TRUE"
"60","TRUE"
"61","TRUE"
"62","FALSE"
"63","FALSE"
"64","TRUE"
"65","FALSE"
"66","FALSE"
"67","TRUE"
"68","FALSE"
"69","TRUE"
"70","TRUE"
"71","FALSE"
"72","FALSE"
"73","FALSE"
"74","TRUE"
"75","TRUE"
"76","TRUE"
"77","FALSE"
"78","TRUE"
"79","TRUE"
"80","FALSE"
"81","TRUE"
"82","TRUE"
"83","TRUE"
"84","FALSE"
"85","FALSE"
"86","TRUE"
"87","TRUE"
"88","FALSE"
"89","TRUE"
"90","TRUE"
"91","TRUE"
"92","FALSE"
"93","TRUE"
"94","FALSE"
"95","TRUE"
"96","TRUE"
"97","TRUE"
"98","TRUE"
"99","TRUE"
"100","TRUE"
"101","TRUE"
"102","FALSE"
"103","FALSE"
"104","TRUE"
"105","FALSE"
"106","FALSE"
"107","FALSE"
"108","TRUE"
"109","TRUE"
"110","TRUE"
"111","TRUE"
"112","TRUE"
"113","TRUE"
"114","FALSE"
"115","TRUE"
"116","TRUE"
"117","FALSE"
"118","TRUE"
"119","FALSE"
"120","FALSE"
"121","FALSE"
"122","TRUE"
"123","TRUE"
"124","FALSE"
"125","TRUE"
"126","TRUE"
"127","FALSE"
"128","FALSE"
"129","FALSE"
"130","TRUE"
"131","TRUE"
"132","TRUE"
"133","TRUE"
"134","TRUE"
"135","TRUE"
"136","FALSE"
"137","FALSE"
"138","FALSE"
"139","TRUE"
"140","FALSE"
"141","FALSE"
"142","FALSE"
"143","TRUE"
"144","FALSE"
"145","FALSE"
"146","TRUE"
"147","TRUE"
"148","FALSE"
"149","TRUE"
"150","FALSE"
"151","FALSE"
"152","FALSE"
"153","FALSE"
"154","FALSE"
"155","FALSE"
"156","TRUE"
"157","TRUE"
"158","TRUE"
"159","TRUE"
"160","FALSE"
"161","FALSE"
"162","TRUE"
"163","TRUE"
"164","FALSE"
"165","TRUE"
"166","TRUE"
"167","FALSE"
"168","TRUE"
"169","FALSE"
"170","TRUE"
"171","TRUE"
"172","FALSE"
"173","FALSE"
"174","FALSE"
"175","FALSE"
"176","TRUE"
"177","TRUE"
"178","FALSE"
"179","FALSE"
"180","FALSE"
"181","TRUE"
"182","TRUE"
"183","FALSE"
"184","FALSE"
"185","TRUE"
"186","FALSE"
"187","TRUE"
"188","TRUE"
"189","FALSE"
"190","FALSE"
"191","FALSE"
"192","TRUE"
"193","FALSE"
"194","FALSE"
"195","FALSE"
"196","FALSE"
"197","FALSE"
"198","FALSE"
"199","FALSE"
"200","TRUE"
"201","FALSE"
"202","TRUE"
"203","TRUE"
"204","TRUE"
"205","FALSE"
"206","TRUE"
"207","TRUE"
"208","TRUE"
"209","FALSE"
"210","FALSE"
"211","FALSE"
"212","FALSE"
"213","TRUE"
"214","TRUE"
"215","FALSE"
"216","TRUE"
"217","FALSE"
"218","TRUE"
"219","FALSE"
"220","TRUE"
"221","FALSE"
"222","FALSE"
"223","TRUE"
"224","TRUE"
"225","TRUE"
"226","TRUE"
"227","FALSE"
"228","TRUE"
"229","TRUE"
"230","TRUE"
"231","FALSE"
"232","FALSE"
"233","TRUE"
"234","FALSE"
"235","FALSE"
"236","FALSE"
"237","FALSE"
"238","FALSE"
"239","FALSE"
"240","TRUE"
"241","FALSE"
"242","TRUE"
"243","TRUE"
"244","TRUE"
"245","TRUE"
"246","TRUE"
"247","TRUE"
"248","TRUE"
"249","FALSE"
"250","FALSE"
"251","FALSE"
"252","TRUE"
"253","TRUE"
"254","FALSE"
"255","FALSE"
"256","TRUE"
"257","FALSE"
"258","FALSE"
"259","FALSE"
"260","TRUE"
"261","FALSE"
"262","TRUE"
"263","FALSE"
"264","FALSE"
"265","TRUE"
"266","TRUE"
"267","TRUE"
"268","TRUE"
"269","TRUE"
"270","FALSE"
"271","FALSE"
"272","TRUE"
"273","FALSE"
"274","FALSE"
"275","TRUE"
"276","FALSE"
"277","TRUE"
"278","TRUE"
"279","TRUE"
"280","FALSE"
"281","TRUE"
"282","TRUE"
"283","TRUE"
"284","FALSE"
"285","TRUE"
"286","FALSE"
"287","TRUE"
"288","TRUE"
"289","TRUE"
"290","TRUE"
"291","FALSE"
"292","FALSE"
"293","TRUE"
"294","TRUE"
"295","TRUE"
"296","FALSE"
"297","FALSE"
"298","TRUE"
"299","TRUE"
"300","FALSE"
"301","TRUE"
"302","TRUE"
"303","TRUE"
"304","TRUE"
"305","TRUE"
"306","TRUE"
"307","FALSE"
"308","FALSE"
"309","TRUE"
"310","TRUE"
"311","TRUE"
"312","FALSE"
"313","FALSE"
"314","TRUE"
"315","TRUE"
"316","TRUE"
"317","TRUE"
"318","FALSE"
"319","TRUE"
"320","TRUE"
"321","FALSE"
"322","TRUE"
"323","FALSE"
"324","TRUE"
"325","TRUE"
"326","TRUE"
"327","TRUE"
"328","FALSE"
"329","TRUE"
"330","TRUE"
"331","TRUE"
"332","TRUE"
"333","FALSE"
"334","TRUE"
"335","FALSE"
"336","TRUE"
"337","FALSE"
"338","TRUE"
"339","TRUE"
"340","FALSE"
"341","FALSE"
"342","FALSE"
"343","FALSE"
"344","FALSE"
"345","FALSE"
"346","FALSE"
"347","FALSE"
"348","FALSE"
"349","FALSE"
"350","TRUE"
"351","FALSE"
"352","TRUE"
"353","TRUE"
"354","FALSE"
"355","FALSE"
"356","FALSE"
"357","FALSE"
"358","TRUE"
"359","FALSE"
"360","TRUE"
"361","FALSE"
"362","FALSE"
"363","FALSE"
"364","TRUE"
"365","FALSE"
"366","TRUE"
"367","FALSE"
"368","TRUE"
"369","FALSE"
"370","FALSE"
"371","TRUE"
"372","FALSE"
"373","TRUE"
"374","TRUE"
"375","TRUE"
"376","TRUE"
"377","TRUE"
"378","FALSE"
"379","FALSE"
"380","TRUE"
"381","FALSE"
"382","TRUE"
"383","TRUE"
"384","FALSE"
"385","TRUE"
"386","FALSE"
"387","FALSE"
"388","FALSE"
"389","TRUE"
"390","TRUE"
"391","TRUE"
"392","FALSE"
"393","FALSE"
"394","FALSE"
"395","FALSE"
"396","TRUE"
"397","FALSE"
"398","FALSE"
"399","FALSE"
"400","TRUE"
"401","FALSE"
"402","FALSE"
"403","FALSE"
"404","FALSE"
"405","TRUE"
"406","TRUE"
"407","TRUE"
"408","FALSE"
"409","FALSE"
"410","FALSE"
"411","FALSE"
"412","FALSE"
"413","TRUE"
"414","TRUE"
"415","TRUE"
"416","FALSE"
"417","TRUE"
"418","FALSE"
"419","TRUE"
"420","FALSE"
"421","TRUE"
"422","FALSE"
"423","FALSE"
"424","FALSE"
"425","FALSE"
"426","TRUE"
"427","TRUE"
"428","TRUE"
"429","FALSE"
"430","TRUE"
"431","FALSE"
"432","FALSE"
"433","TRUE"
"434","FALSE"
"435","TRUE"
"436","TRUE"
"437","TRUE"
"438","FALSE"
"439","TRUE"
"440","FALSE"
"441","TRUE"
"442","FALSE"
"443","FALSE"
"444","FALSE"
"445","TRUE"
"446","FALSE"
"447","FALSE"
"448","TRUE"
"449","FALSE"
"450","TRUE"
"451","FALSE"
"452","TRUE"
"453","FALSE"
"454","TRUE"
"455","FALSE"
"456","FALSE"
"457","TRUE"
"458","FALSE"
"459","TRUE"
"460","TRUE"
"461","FALSE"
"462","FALSE"
"463","TRUE"
"464","TRUE"
"465","FALSE"
"466","TRUE"
"467","FALSE"
"468","TRUE"
"469","TRUE"
"470","TRUE"
"471","TRUE"
"472","FALSE"
"473","FALSE"
"474","FALSE"
"475","TRUE"
"476","FALSE"
"477","FALSE"
"478","TRUE"
"479","TRUE"
"480","FALSE"
"481","TRUE"
"482","TRUE"
"483","TRUE"
"484","FALSE"
"485","TRUE"
"486","FALSE"
"487","TRUE"
"488","FALSE"
"489","FALSE"
"490","FALSE"
"491","TRUE"
"492","TRUE"
"493","FALSE"
"494","FALSE"
"495","TRUE"
"496","TRUE"
"497","TRUE"
"498","TRUE"
"499","FALSE"
"500","TRUE"
"501","TRUE"
"502","TRUE"
"503","FALSE"
"504","TRUE"
"505","FALSE"
"506","FALSE"
"507","TRUE"
"508","FALSE"
"509","TRUE"
"510","FALSE"
"511","TRUE"
"512","FALSE"
"513","TRUE"
"514","FALSE"
"515","FALSE"
"516","FALSE"
"517","FALSE"
"518","TRUE"
"519","TRUE"
"520","TRUE"
"521","TRUE"
"522","TRUE"
"523","FALSE"
"524","TRUE"
"525","TRUE"
"526","TRUE"
"527","TRUE"
"528","TRUE"
"529","TRUE"
"530","TRUE"
"531","TRUE"
"532","TRUE"
"533","FALSE"
"534","FALSE"
"535","TRUE"
"536","TRUE"
"537","FALSE"
"538","FALSE"
"539","FALSE"
"540","FALSE"
"541","FALSE"
"542","FALSE"
"543","FALSE"
"544","FALSE"
"545","FALSE"
"546","TRUE"
"547","FALSE"
"548","FALSE"
"549","TRUE"
"550","TRUE"
"551","FALSE"
"552","TRUE"
"553","TRUE"
"554","FALSE"
"555","TRUE"
"556","TRUE"
"557","FALSE"
"558","FALSE"
"559","FALSE"
"560","FALSE"
"561","TRUE"
"562","FALSE"
"563","FALSE"
"564","FALSE"
"565","FALSE"
"566","FALSE"
"567","TRUE"
"568","FALSE"
"569","TRUE"
"570","TRUE"
"571","FALSE"
"572","FALSE"
"573","TRUE"
"574","TRUE"
"575","TRUE"
"576","FALSE"
"577","FALSE"
"578","FALSE"
"579","TRUE"
"580","TRUE"
"581","FALSE"
"582","TRUE"
"583","FALSE"
"584","FALSE"
"585","FALSE"
"586","FALSE"
"587","TRUE"
"588","FALSE"
"589","FALSE"
"590","TRUE"
"591","FALSE"
"592","TRUE"
"593","TRUE"
"594","TRUE"
"595","TRUE"
"596","TRUE"
"597","FALSE"
"598","FALSE"
"599","FALSE"
"600","FALSE"
"601","TRUE"
"602","TRUE"
"603","FALSE"
"604","FALSE"
"605","FALSE"
"606","FALSE"
"607","TRUE"
"608","TRUE"
"609","FALSE"
"610","FALSE"
"611","TRUE"
"612","FALSE"
"613","TRUE"
"614","FALSE"
"615","TRUE"
"616","TRUE"
"617","FALSE"
"618","FALSE"
"619","TRUE"
"620","TRUE"
"621","FALSE"
"622","FALSE"
"623","FALSE"
"624","FALSE"
"625","FALSE"
"626","FALSE"
"627","FALSE"
"628","FALSE"
"629","FALSE"
"630","FALSE"
"631","FALSE"
"632","FALSE"
"633","FALSE"
"634","TRUE"
"635","TRUE"
"636","FALSE"
"637","TRUE"
"638","TRUE"
"639","FALSE"
"640","FALSE"
"641","TRUE"
"642","FALSE"
"643","FALSE"
"644","FALSE"
"645","TRUE"
"646","FALSE"
"647","TRUE"
"648","TRUE"
"649","TRUE"
"650","FALSE"
"651","TRUE"
"652","TRUE"
"653","FALSE"
"654","TRUE"
"655","FALSE"
"656","TRUE"
"657","FALSE"
"658","TRUE"
"659","TRUE"
"660","TRUE"
"661","FALSE"
"662","TRUE"
"663","FALSE"
"664","FALSE"
"665","FALSE"
"666","TRUE"
"667","FALSE"
"668","TRUE"
"669","FALSE"
"670","FALSE"
"671","TRUE"
"672","FALSE"
"673","FALSE"
"674","TRUE"
"675","TRUE"
"676","FALSE"
"677","TRUE"
"678","TRUE"
"679","FALSE"
"680","FALSE"
"681","TRUE"
"682","TRUE"
"683","FALSE"
"684","TRUE"
"685","FALSE"
"686","TRUE"
"687","FALSE"
"688","TRUE"
"689","TRUE"
"690","FALSE"
"691","FALSE"
"692","FALSE"
"693","TRUE"
"694","TRUE"
"695","FALSE"
"696","FALSE"
"697","TRUE"
"698","FALSE"
"699","FALSE"
"700","TRUE"
"701","FALSE"
"702","TRUE"
"703","TRUE"
"704","FALSE"
"705","TRUE"
"706","FALSE"
"707","FALSE"
"708","FALSE"
"709","TRUE"
"710","FALSE"
"711","FALSE"
"712","FALSE"
"713","TRUE"
"714","TRUE"
"715","TRUE"
"716","FALSE"
"717","TRUE"
"718","TRUE"
"719","TRUE"
"720","TRUE"
"721","FALSE"
"722","TRUE"
"723","TRUE"
"724","FALSE"
"725","TRUE"
"726","FALSE"
"727","FALSE"
"728","TRUE"
"729","FALSE"
"730","TRUE"
"731","TRUE"
"732","TRUE"
"733","TRUE"
"734","TRUE"
"735","TRUE"
"736","FALSE"
"737","TRUE"
"738","TRUE"
"739","TRUE"
"740","TRUE"
"741","TRUE"
"742","TRUE"
"743","TRUE"
"744","TRUE"
"745","TRUE"
"746","TRUE"
"747","FALSE"
"748","TRUE"
"749","TRUE"
"750","TRUE"
"751","TRUE"
"752","FALSE"
"753","FALSE"
"754","TRUE"
"755","TRUE"
"756","FALSE"
"757","TRUE"
"758","TRUE"
"759","FALSE"
"760","TRUE"
"761","FALSE"
"762","FALSE"
"763","FALSE"
"764","FALSE"
"765","FALSE"
"766","TRUE"
"767","TRUE"
"768","TRUE"
"769","FALSE"
"770","TRUE"
"771","FALSE"
"772","TRUE"
"773","FALSE"
"774","TRUE"
"775","TRUE"
"776","TRUE"
"777","TRUE"
"778","TRUE"
"779","TRUE"
"780","TRUE"
"781","FALSE"
"782","TRUE"
"783","FALSE"
"784","TRUE"
"785","FALSE"
"786","FALSE"
"787","TRUE"
"788","TRUE"
"789","FALSE"
"790","FALSE"
"791","FALSE"
"792","TRUE"
"793","TRUE"
"794","FALSE"
"795","TRUE"
"796","FALSE"
"797","FALSE"
"798","FALSE"
"799","FALSE"
"800","FALSE"
"801","FALSE"
"802","TRUE"
"803","FALSE"
"804","TRUE"
"805","TRUE"
"806","TRUE"
"807","TRUE"
"808","FALSE"
"809","TRUE"
"810","FALSE"
"811","FALSE"
"812","TRUE"
"813","TRUE"
"814","FALSE"
"815","TRUE"
"816","TRUE"
"817","TRUE"
"818","TRUE"
"819","TRUE"
"820","TRUE"
"821","TRUE"
"822","FALSE"
"823","TRUE"
"824","TRUE"
"825","FALSE"
"826","FALSE"
"827","FALSE"
"828","TRUE"
"829","TRUE"
"830","TRUE"
"831","FALSE"
"832","FALSE"
"833","TRUE"
"834","FALSE"
"835","FALSE"
"836","TRUE"
"837","FALSE"
"838","TRUE"
"839","TRUE"
"840","FALSE"
"841","TRUE"
"842","FALSE"
"843","TRUE"
"844","FALSE"
"845","FALSE"
"846","FALSE"
"847","FALSE"
"848","TRUE"
"849","FALSE"
"850","TRUE"
"851","TRUE"
"852","TRUE"
"853","TRUE"
"854","TRUE"
"855","TRUE"
"856","TRUE"
"857","FALSE"
"858","FALSE"
"859","FALSE"
"860","TRUE"
"861","TRUE"
"862","FALSE"
"863","TRUE"
"864","FALSE"
"865","TRUE"
"866","FALSE"
"867","TRUE"
"868","FALSE"
"869","FALSE"
"870","TRUE"
"871","FALSE"
"872","TRUE"
"873","FALSE"
"874","FALSE"
"875","FALSE"
"876","TRUE"
"877","FALSE"
"878","FALSE"
"879","FALSE"
"880","TRUE"
"881","TRUE"
"882","FALSE"
"883","FALSE"
"884","FALSE"
"885","FALSE"
"886","TRUE"
"887","TRUE"
"888","FALSE"
"889","TRUE"
"890","FALSE"
"891","TRUE"
"892","TRUE"
"893","FALSE"
"894","TRUE"
"895","FALSE"
"896","FALSE"
"897","TRUE"
"898","TRUE"
"899","FALSE"
"900","FALSE"
"901","FALSE"
"902","FALSE"
"903","TRUE"
"904","TRUE"
"905","FALSE"
"906","FALSE"
"907","FALSE"
"908","FALSE"
"909","TRUE"
"910","FALSE"
"911","FALSE"
"912","TRUE"
"913","TRUE"
"914","TRUE"
"915","FALSE"
"916","TRUE"
"917","TRUE"
"918","FALSE"
"919","TRUE"
"920","TRUE"
"921","FALSE"
"922","TRUE"
"923","FALSE"
"924","TRUE"
"925","FALSE"
"926","TRUE"
"927","TRUE"
"928","TRUE"
"929","TRUE"
"930","FALSE"
"931","FALSE"
"932","FALSE"
"933","TRUE"
"934","TRUE"
"935","TRUE"
"936","TRUE"
"937","TRUE"
"938","FALSE"
"939","FALSE"
"940","FALSE"
"941","FALSE"
"942","TRUE"
"943","FALSE"
"944","TRUE"
"945","FALSE"
"946","TRUE"
"947","FALSE"
"948","FALSE"
"949","FALSE"
"950","TRUE"
"951","TRUE"
"952","TRUE"
"953","TRUE"
"954","TRUE"
"955","TRUE"
"956","FALSE"
"957","TRUE"
"958","FALSE"
"959","TRUE"
"960","FALSE"
"961","FALSE"
"962","TRUE"
"963","TRUE"
"964","FALSE"
"965","TRUE"
"966","TRUE"
"967","TRUE"
"968","TRUE"
"969","TRUE"
"970","FALSE"
"971","TRUE"
"972","FALSE"
"973","TRUE"
"974","TRUE"
"975","FALSE"
"976","TRUE"
"977","FALSE"
"978","FALSE"
"979","TRUE"
"980","TRUE"
"981","FALSE"
"982","TRUE"
"983","FALSE"
"984","FALSE"
"985","TRUE"
"986","TRUE"
"987","FALSE"
"988","TRUE"
"989","TRUE"
"990","FALSE"
"991","FALSE"
"992","TRUE"
"993","FALSE"
"994","TRUE"
"995","FALSE"
"996","TRUE"
"997","FALSE"
"998","FALSE"
"999","TRUE"
"1000","TRUE"
